userPrincipalName,displayName,surname,givenName,id,userType,jobTitle,department,accountEnabled,usageLocation,country,city,identityIssuer,createdDateTime
alexandermoore__SSDe@airaviavista.onmicrosoft.com,Alexander Moore (Scheduling and Safety Department),Moore,Alexander,791c0d1b-a678-45c0-8fed-98e597c4508f,Member,Payload Manager,Scheduling and Safety Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
allancarney__CSD@airaviavista.onmicrosoft.com,Allan Carney (Customer Services Department),Carney,Allan,afe38e4d-b961-4d4e-a55d-720386c049ef,Member,Customer Service,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
amandahooker__CSD@airaviavista.onmicrosoft.com,Amanda Hooker (Customer Services Department),Hooker,Amanda,46d92d6f-1403-4cf9-a752-6fedf6b6f341,Member,Check-in Personnel,Customer Services Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
amydunkerson__SSDe@airaviavista.onmicrosoft.com,Amy Dunkerson (Scheduling and Safety Department),Dunkerson,Amy,806eaf36-9e6d-4e99-b1a0-460c2e439d6d,Member,Payload Manager,Scheduling and Safety Department,FALSE,US,United States,Boston,airaviavista.onmicrosoft.com,3/14/2024 1:22
angelaoconnor__MDe@airaviavista.onmicrosoft.com,Angela Oconnor (Maintenance Department),Oconnor,Angela,c4d5376e-76d6-4997-869b-68aea4a11ee0,Member,Maintainer,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
annaburt__ADe@airaviavista.onmicrosoft.com,Anna Burt (Administrative Department),Burt,Anna,4b1271f9-0ff3-4bef-8d3c-c22a047ab0ee,Member,Human Resources,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
anthonyvandermeer__SSDe@airaviavista.onmicrosoft.com,Anthony Vandermeer (Scheduling and Safety Department),Vandermeer,Anthony,67b7bf75-fef0-4442-9678-96e19274371b,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
antoinecastle__MDe@airaviavista.onmicrosoft.com,Antoine Castle (Maintenance Department),Castle,Antoine,9f4ec53b-469b-4032-a53a-4ff619e85714,Member,Maintainer,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
antoniobyers__IFD@airaviavista.onmicrosoft.com,Antonio Byers (In-Flight Department),Byers,Antonio,897ee7a1-b538-45f9-b6f7-138ecc7c8ede,Member,Flight Attendant,In-Flight Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
antoniohester__SSDe@airaviavista.onmicrosoft.com,Antonio Hester (Scheduling and Safety Department),Hester,Antonio,510cac5f-c347-4278-8838-454b568f3850,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
